Id,ParticipantId,CorrectSentence,TypedSentence,TaskCompletionTime,Accuracy,CPS,WPM,AWPM
1,190,prevailing wind from the east,prevailing wind from the east,7.452172994613647,1.0,3.8914823932510556,46.69778871901267,46.69778871901267
2,190,never too rich and never too thin,never too rich and never too thin,11.07711398601532,1.0,2.9791153220651134,35.749383864781365,35.749383864781365
3,190,breathing is difficult,breathing is difficult,8.231343984603882,1.0,2.6727105611367192,32.07252673364063,32.07252673364063
4,190,i can see the rings on saturn,i can see the rings on saturn,8.876449942588806,1.0,3.2670718798130443,39.20486255775653,39.20486255775653
5,190,physics and chemistry are hard,pysics and chemistry are hard,14.403241038322449,0.9830508474576272,2.0134357206714943,24.161228648057932,23.751716298090848
6,190,my bank account is overdrawn,my bank account is overdrawn,11.26617193222046,1.0,2.4853162341613095,29.823794809935713,29.823794809935713
7,190,elections bring out the best,lections bring out the best,12.272159099578856,0.9818181818181818,2.200101855013154,26.40122226015785,25.92120003724589
8,190,we are having spaghetti,we are having spaghetti,8.936684012413025,1.0,2.5736615469510924,30.883938563413107,30.883938563413107
9,190,time to go shopping,time to go shopping,5.450886964797974,1.0,3.4856712536331593,41.828055043597914,41.828055043597914
10,190,a problem with the engine,a problem with the engine,7.992725014686584,1.0,3.1278443777388376,37.53413253286605,37.53413253286605
11,190,elephants are afraid of mice,elephans are afraid of mice,8.518797993659973,0.9818181818181818,3.169461233861217,38.0335348063346,37.34201599167397
12,190,my favorite place to visit,my favorite place to visit,8.239332914352417,1.0,3.155595273339372,37.86714328007246,37.86714328007246
13,190,circumstances are unacceptable,circumstances are unacceptable,12.40201699733734,1.0,2.418961367851767,29.02753641422121,29.02753641422121
14,190,my favorite subject is psychology,my facorite subject is psychology,12.506395936012268,0.9696969696969697,2.638649869142255,31.66379842970706,30.704289386382605
15,190,watch out for low flying objects,watch out for low lflying objects,14.654217004776,0.9846153846153847,2.251911513883333,27.022938166599992,26.60720065634461
16,190,if at first you do not succeed,if at first you do not succeed,11.483296990394592,1.0,2.6124901258840585,31.349881510608704,31.349881510608704
17,190,please provide your date of birth,please provide your daye of birth,11.837072014808657,0.9696969696969697,2.7878515868380003,33.454219042056,32.440454828660364
18,190,we run the risk of failure,we run the rsisk of failure,9.110161900520325,0.9811320754716981,2.9637233997408874,35.56468079689065,34.89364908374177
19,190,prayer in schools offends some,prayer in schools offends some,11.93429410457611,1.0,2.5137640933866994,30.165169120640392,30.165169120640392
20,190,he is just like everyone else,he is just like everyone else,10.011553049087524,1.0,2.896653482013275,34.7598417841593,34.7598417841593
1,240,prevailing wind from the east,prevailing wind from the ewat,4.6305049657821655,0.9655172413793104,6.262815873063521,75.15379047676225,72.56228046032219
2,240,never too rich and never too thin,never too ricb and neber too thin,7.0502530336380005,0.9393939393939394,4.680683068047513,56.16819681657015,52.764063676171965
3,240,breathing is difficult,breathing is difficult,4.260787010192871,1.0,5.163365347146075,61.960384165752906,61.960384165752906
4,240,i can see the rings on saturn,i can see the rings on saturn,5.355591058731079,1.0,5.414901862740633,64.97882235288759,64.97882235288759
5,240,physics and chemistry are hard,physics and chemistrt are hard,5.687748074531555,0.9666666666666667,5.274495214429976,63.29394257315971,61.18414448738772
6,240,my bank account is overdrawn,my bank account is overdrawn,5.059716939926148,1.0,5.533906408687101,66.40687690424521,66.40687690424521
7,240,elections bring out the best,elextions bring out thr best,4.864448070526123,0.9285714285714286,5.756048701527532,69.07258441833038,64.13882838844964
8,240,we are having spaghetti,we are hacing spaghetti,4.175163984298706,0.9565217391304348,5.508765664413362,66.10518797296035,63.231049365440334
9,240,time to go shopping,time to go shopping,3.320481061935425,1.0,5.722062449868448,68.66474939842138,68.66474939842138
10,240,a problem with the engine,a problem with the engine,4.299593925476074,1.0,5.814502586365029,69.77403103638035,69.77403103638035
11,240,elephants are afraid of mice,dlephants are afraid of mice,4.8694599866867065,0.9642857142857143,5.750124259477045,69.00149111372454,66.53715214537723
12,240,my favorite place to visit,my favourite place to cisit,5.75110399723053,0.9433962264150944,4.694750784023723,56.33700940828468,53.14812208328743
13,240,circumstances are unacceptable,circumstances are unacceptable,5.360260009765625,1.0,5.596743431353013,67.16092117623614,67.16092117623614
14,240,my favorite subject is psychology,my favourite subject is phsgxhologhy,12.450065970420836,0.8985507246376812,2.891550943226298,34.69861131871558,31.17846234435313
15,240,watch out for low flying objects,watch out for low flying objects,5.2668540477752686,1.0,6.075733200451392,72.9087984054167,72.9087984054167
16,240,if at first you do not succeed,if a first you do not succeed,4.707671999931336,0.9830508474576272,6.160157292271633,73.92188750725958,72.66897415967891
17,240,please provide your date of birth,please provide your date of birth,5.358335018157959,1.0,6.158629478778736,73.90355374534484,73.90355374534484
18,240,we run the risk of failure,we run tbe risk of failure,4.040451049804688,0.9615384615384616,6.434925130761531,77.21910156913837,74.24913612417151
